date,fr_gb,gb_fr,fr_cwe,cwe_fr,fr_ch,ch_fr,fr_it,it_fr,fr_es,es_fr,export_france,import_france
2005-02-01,0.0,-1447.0,3015.0,-2494.0,3190.0,-1171.0,2629.0,0.0,1373.0,-18.0,10207.0,-5130.0
2010-11-21,2220.638,-214.0,1009.0,-509.0,3171.0,-318.0,2103.0,-263.0,2.0,-32.0,8505.637999999999,-1336.0
2005-02-02,449.0,-507.5,2668.0,-2243.0,2589.0,-484.0,2441.0,0.0,781.0,-824.0,8928.0,-4058.5
2005-02-03,0.0,-567.0,2623.0,-3329.0,2577.0,-933.0,2441.0,0.0,1364.0,-15.0,9005.0,-4844.0
2010-11-22,1417.0,-543.0,283.0,-1008.0,3147.0,-583.0,2012.0,-675.0,2.0,-32.0,6861.0,-2841.0
2005-02-04,0.0,-300.0,2603.0,-3951.0,3264.0,-782.0,2441.0,0.0,1389.0,-15.0,9697.0,-5048.0
2010-11-23,1675.0,-505.0,50.0,-3548.0,3147.0,-230.0,2067.0,-225.0,432.0,-426.0,7371.0,-4934.0
2005-02-05,1059.0,0.0,2662.0,-5806.0,3191.0,-778.0,2441.0,0.0,1379.0,-15.0,10732.0,-6599.0
2010-11-24,883.0,-536.0,23.0,-3453.0,3177.0,-557.0,2048.0,-280.0,2.0,-632.0,6133.0,-5458.0
2005-02-06,2000.0,0.0,2343.0,-5221.0,3179.0,-1002.0,2441.0,0.0,1404.0,-15.0,11367.0,-6238.0
2005-02-07,263.0,-151.0,2322.0,-3904.0,3089.0,-822.0,2414.0,0.0,954.0,-15.0,9042.0,-4892.0
2010-11-25,600.0,-798.0,0.0,-3143.0,3330.0,-763.0,1794.0,-210.0,227.0,-631.0,5951.0,-5545.0
2010-11-26,0.0,-2000.0,890.0,-2156.0,3108.0,-1889.0,1897.0,-1156.0,2.0,-600.0,5897.0,-7801.0
2005-02-08,0.0,-525.0,2507.0,-2925.0,2547.0,-627.0,2414.0,0.0,1389.0,-15.0,8857.0,-4092.0
2010-11-27,25.0,-110.0,25.0,-3517.0,3492.0,-801.0,1932.0,-85.0,1.0,-631.0,5475.0,-5144.0
2005-02-09,0.0,-378.0,2481.0,-2896.0,2656.0,-702.0,2414.0,0.0,1389.0,-15.0,8940.0,-3991.0
2010-11-28,111.0,-169.0,0.0,-4055.0,3375.0,-929.0,1740.0,-490.0,301.0,-396.0,5527.0,-6039.0
2005-02-10,0.0,-1942.0,3529.0,-4386.0,3366.0,-921.0,2602.0,0.0,1363.0,-28.0,10860.0,-7277.0
2010-11-29,962.0,-1845.0,0.0,-4210.0,2705.0,-731.0,1217.0,-849.0,1.0,-631.0,4885.0,-8266.0
2005-02-11,150.0,0.0,2589.0,-3322.0,3234.0,-691.0,2414.0,0.0,1396.0,-15.0,9783.0,-4028.0
2010-11-30,201.0,-1368.0,0.0,-3575.0,2905.0,-901.0,1729.0,-795.0,1.0,-581.0,4836.0,-7220.0
2005-02-12,2000.0,0.0,3581.0,-2637.0,3183.0,-843.0,2517.0,0.0,1358.0,-27.0,12639.0,-3507.0
2005-02-13,2000.0,0.0,2219.0,-3621.0,2822.0,-1425.0,2391.0,0.0,1405.0,-15.0,10837.0,-5061.0
2010-12-01,0.0,-2000.0,57.0,-2717.0,2396.0,-2041.0,820.0,-1495.0,2.0,-600.0,3275.0,-8853.0
2005-02-14,1544.0,0.0,2363.0,-4710.0,3219.0,-999.0,2391.0,0.0,1355.0,-15.0,10872.0,-5724.0
2010-12-02,90.0,-1875.0,1.0,-3278.0,2696.0,-596.0,919.0,-1071.0,4.0,-487.0,3710.0,-7307.0
2005-02-15,299.0,0.0,2559.0,-4236.0,3017.0,-655.0,2391.0,0.0,680.0,-195.0,8946.0,-5086.0
2010-12-03,0.0,-975.0,111.0,-3637.0,2855.0,-479.0,999.0,-618.0,3.0,-633.0,3968.0,-6342.0
2005-02-16,50.0,-100.0,2449.0,-4095.0,2405.0,-743.0,2391.0,0.0,506.0,-862.0,7801.0,-5800.0
2010-12-04,1053.0,-1378.0,829.0,-3888.0,3386.0,-835.0,1664.0,-358.0,759.0,-482.0,7691.0,-6941.0
2005-02-17,0.0,-1124.5,2948.0,-2346.0,2493.0,-667.0,2602.0,0.0,776.0,-6.0,8819.0,-4143.5
